,links,names,Views,likes,age
80,https://www.youtube.com/watch?v=dz7Ntp7KQGA,"

Ethical Hacking Full Course - Learn Ethical Hacking in 10 Hours | Ethical Hacking Tutorial | Edureka
","6,554,538 views",261K,
81,https://www.youtube.com/watch?v=KJgsSFOSQv0,"

C Programming Tutorial for Beginners
","5,155,172 views",99K,
82,https://www.youtube.com/watch?v=7S_tz1z_5bA,"

MySQL Tutorial for Beginners [Full Course]
","4,755,402 views",119K,
83,https://www.youtube.com/watch?v=Ulp1Kimblg0,"

Swift Programming Tutorial for Beginners (Full Tutorial)
","4,671,997 views",17K,
84,https://www.youtube.com/watch?v=GhQdlIFylQ8,"

C# Tutorial - Full Course for Beginners
","4,408,319 views",104K,
85,https://www.youtube.com/watch?v=ciNHn38EyRc,"

Running an SQL Injection Attack - Computerphile
","3,924,564 views",75K,
86,https://www.youtube.com/watch?v=ZNObiptSMSI,"

Connecting to SQL Server using SSMS - Part 1
","3,630,457 views",9.2K,
87,https://www.youtube.com/watch?v=9Pzj7Aj25lw,"

Learn SQL in 1 Hour - SQL Basics for Beginners
","2,723,476 views",26K,
88,https://www.youtube.com/watch?v=OK_JCtrrv-c,"

PHP Programming Language Tutorial - Full Course
","2,414,386 views",44K,
89,https://www.youtube.com/watch?v=_V8eKsto3Ug,"

R Programming Tutorial - Learn the Basics of Statistical Computing
","1,937,048 views",33K,
90,https://www.youtube.com/watch?v=poJfwre2PIs,"

What Programming Language Should I Learn First?
","1,666,592 views",51K,
91,https://www.youtube.com/watch?v=ZS_kXvOeQ5Y,"

SQL vs NoSQL or MySQL vs MongoDB
","1,637,646 views",31K,
92,https://www.youtube.com/watch?v=ua-CiDNNj30,"

Learn Data Science Tutorial - Full Course for Beginners
","1,536,763 views",38K,
93,https://www.youtube.com/watch?v=ztHopE5Wnpc,"

Database Design Course - Learn how to design and plan a database for beginners
","1,500,584 views",37K,
94,https://www.youtube.com/watch?v=-WEpWH1NHGU,"

Top 65 SQL Interview Questions and Answers | SQL Interview Preparation | SQL Training | Edureka
","1,453,735 views",25K,
95,https://www.youtube.com/watch?v=iP1wOSsKjW8,"

Beginners MYSQL Database Tutorial 1 # Download , Install MYSQL and first SQL query
","1,444,783 views",3.7K,
96,https://www.youtube.com/watch?v=tDuruX7XSac,"

Azure Full Course - Learn Microsoft Azure in 8 Hours | Azure Tutorial For Beginners | Edureka
","1,413,483 views",18K,
97,https://www.youtube.com/watch?v=BPHAr4QGGVE,"

SQL Full Course | SQL Tutorial For Beginners | Learn SQL (Structured Query Language) | Edureka
","1,179,470 views",17K,
98,https://www.youtube.com/watch?v=Qu3E-oncF3g,"

Stored procedures in sql server   Part 18
","1,164,100 views",6.1K,
